produto_original,produto_limpo,categoria_folha,confianca
Protetor Diário Carrefour Soft 20 unidades,protetor diario soft,Protetor Diário,0.3796551525592804
Enxaguante Bucal Colgate Plax Ice Fusion Cold Mint 250ml,enxaguante bucal colgate plax ice fusion cold mint,Enxaguante Bucal,0.09194880723953247
Condicionador Infantil Johnson's Baby Cheirinho Prolongado 200ml,condicionador infantil johnsons baby cheirinho prolongado,Condicionador,0.1280173361301422
Água de Coco Ducoco 200ml,agua coco ducoco,Água de Coco,0.3109224736690521
Desodorante Roll-on NIVEA Protect & Care 50ml,desodorante rollon nivea protect care,Desodorante Roll-on,0.17754729092121124
Condicionador Huggies Kids Cachinhos Poderosos 360ml,condicionador huggies kids cachinhos poderosos,Condicionador,0.12726545333862305
Frutas Congeladas Polpanorte Acerola 400 G,frutas congeladas polpanorte acerola,Fruta Congelada,0.1875002086162567
"Suco de Citrus Del Valle Frut 1,5 Litro",suco citrus del valle frut,Suco,0.12840837240219116
Água Micelar NIVEA Solução de Limpeza 7 em 1 200ml,agua micelar nivea solucao limpeza,Água Micelar,0.32237860560417175
Repelex Repelente Family Care Aerossol 200ml,repelex repelente family care aerossol,Protetor Diário,0.0904412716627121
Protetor Solar Fps 30 L'oréal Paris Supreme Protect 120 Ml,protetor solar fps loreal paris supreme protect,Protetor Solar Corporal,0.17050987482070923
Escova Dental Macia True White Sensodyne 1 unidade,escova dental macia true white sensodyne,Escova de Dente Macia,0.28650450706481934
Lustra Móveis Poliflor Original 200ml,lustra moveis poliflor,Lustra Móveis,0.283440500497818
Whisky Escocês White Horse 1L,whisky escoces white horse,Whisky,0.2027461677789688
Sabonete Líquido Monange Extrato de Oliva 240ml,sabonete liquido monange extrato oliva,Sabonete Líquido,0.17363417148590088
Bebida à Base de Aveia A Tal da Castanha 1l,bebida base aveia tal castanha,Lasanha,0.05706259235739708
Energético Baly Melancia Lata 473ml,energetico baly melancia,Energéticos,0.1076568216085434
Esfiha Aberta de Carne Liban Foods 350 g,esfiha aberta carne liban foods,Lombo,0.11561250686645508
Bepantol Baby Creme Preventivo de Assaduras Para Bebês 30G com 15% off,bepantol baby creme preventivo assaduras bebes off,Creme para Assaduras,0.18324290215969086
Vinho Tinto Suave Santa Colheita 750 ml,vinho tinto suave santa colheita,Vinho Tinto,0.32916128635406494
Tomate Grape Ferrara 180 g,tomate grape ferrara,Ração Seca,0.01872332952916622
Limpador Cozinha Veja Cozinha Lavanda Squeeze 500ml,limpador cozinha veja cozinha lavanda squeeze,Esponja de cozinha,0.0802784264087677
Absorvente Always M Suave com Abas 32 Unidades,absorvente always suave abas,Pilhas,0.04518772289156914
Palmolive Naturals Hidratação Saudável Sabonete em Barra 85g,palmolive naturals hidratacao saudavel sabonete barra,Sabonete em Barra,0.1753639578819275
Sabonete Antibacteriano em Barra Protex Nutri Protect Macadâmia 85 g Leve 6 Pague 5,sabonete antibacteriano barra protex nutri protect macadamia,Sabonete em Barra,0.20455990731716156
Vinho Chileno Tinto Seco Reserva Casillero del Diablo Merlot Valle Central Garrafa 750 ml,vinho chileno tinto seco reserva casillero del diablo merlot valle central,Vinho Tinto,0.2874069809913635
Neston 3 Cereais 600g,neston cereais,Cereais,0.27131709456443787
Carrinho de Bebê Voyage Delta Colorê IMP01391,carrinho bebe voyage delta colore imp,Picolés,0.04424161836504936
Copa Lombo Suíno Temperado Na Brasa 600g,copa lombo suino brasa,Lombo,0.19623956084251404
Sabonete em Barra Corporal Protex Erva Doce 85g,sabonete barra corporal protex erva doce,Sabonete em Barra,0.11015371978282928
"Bife Ancho Bovino Resfriado Maturatta Aprox. 1,5Kg",bife ancho bovino resfriado maturatta,Mostarda,0.1687968224287033
Desodorante Antitranspirante Roll on Dove Men+Care Cuidado Total 50ml,desodorante antitranspirante roll on dove mencare cuidado total,Desodorante Roll-on,0.21415886282920837
Cerveja Pilsen Brahma Chopp Lata 350ml,cerveja pilsen brahma chopp,Pilsen,0.19313684105873108
Xarope Concentrado Sabor Morango Kaly 700 ml,xarope concentrado morango kaly,Salame,0.07067794352769852
Sabonete em Barra Antibacteriano 3 em 1 NIVEA 85g,sabonete barra antibacteriano nivea,Sabonete em Barra,0.20742583274841309
Bomba de Tirar Leite Materno Manual Philips Avent Scf430/01 Natural Motion,bomba tirar leite materno manual philips avent scf motion,Pilsen,0.11694668978452682
Água Mineral sem Gás Bioleve 510ml,agua mineral gas bioleve,Água Mineral com Gás,0.2778681218624115
Fralda-Calça Dia&Noite Jumbo XXG - 22 unidades,fraldacalca dianoite jumbo,Protetor Diário,0.06851419061422348
Desodorante Giovanna Baby Classic Flores de Lavanda Aerosol Feminino 150ml,desodorante giovanna baby classic flores lavanda aerosol,Folhas,0.160827174782753
Água Mineral com Gás Crystal 500 ml,agua mineral gas crystal,Água Mineral com Gás,0.2743978500366211
Cadeira de Alimentação Portátil Voyage Cake Rosa e Branca Suporta até 23 Kg,cadeira alimentacao portatil voyage cake rosa branca,Presunto,0.03904782980680466
Condicionador para crianças Palmolive Naturals Kids Cabelo Cacheado 350ml,condicionador criancas palmolive naturals kids cabelo cacheado,Condicionador,0.10861129313707352
"Sorvete Leite Trufado Carrefour 1,8 L",sorvete leite trufado,Leite em Pó,0.06907960772514343
Fórmula Infantil Nestogeno 2 800g,formula infantil nestogeno,Presunto,0.06865661591291428
Absorvente Cobertura Suave com Abas Sempre Livre Adapt Plus - 32 Unid + Absorvente Diário Carefree 15 Unidades,absorvente cobertura suave abas sempre livre adapt plus absorvente diario carefree,Protetor Diário,0.12449412792921066
Néctar Misto Sabor Abacaxi e Maçã 1L,nectar misto abacaxi maca,Néctar,0.2641288936138153
Creme para Pentear Elseve Reparação Total 5 250 ml,creme pentear elseve reparacao total,Cremes para Pentear,0.07181252539157867
Fórmula Infantil Nanlac Supreme Pro 800g,formula infantil nanlac supreme pro,Presunto,0.045598357915878296
Assento de Elevação Voyage,assento elevacao voyage,Sonhos,0.037713922560214996
Gin Doce Strawberry Intencion Garrafa 900 ml,gin doce strawberry intencion,Gin,0.19579361379146576
Refrigerante Guaraná Antarctica Garrafa 2L,refrigerante guarana antarctica,Guaraná,0.22739119827747345
Empanado de Frango Incrível! 100% Vegetal 300g,empanado frango incrivel vegetal,Frango,0.28122955560684204
Cerveja Budweiser American Lager Lata 269 ml,cerveja budweiser american lager,Lager,0.39739707112312317
Vinho Tinto Seco Salton Cotidiano Cabernet Sauvignon 750ml,vinho tinto seco salton cotidiano cabernet sauvignon,Vinho Tinto,0.24379737675189972
Condicionador Hidratação Instantânea Keramax 300ml,condicionador hidratacao instantanea keramax,Condicionador,0.18417419493198395
Cerveja Becks Puro Malte 350ml Lata,cerveja becks puro malte,Espumante Brut,0.08202163875102997
Whisky Johnnie Walker Blonde 750ml,whisky johnnie walker blonde,Whisky,0.25364169478416443
Lenço Umedecido Premiun Com 100 Unidades Upa Bebê,lenco umedecido premiun upa bebe,Shampoos Pet,0.04423553869128227
Biscoito com Cobertura de Chocolate Dr. Schar sem Glúten 150g,biscoito cobertura chocolate dr schar,Costela,0.1360916644334793
Sabonete Em Barra Hidratante Milk Care Cloy 80g,sabonete barra hidratante milk care cloy,Sabonete em Barra,0.0888790488243103
Bebida Adoçada Uva Del Valle Frut Pet 450 ml,bebida adocada uva del valle frut,Polpas de Fruta,0.056048110127449036
Condicionador  Tio  Nacho Antiidade  415 ml,condicionador tio nacho antiidade,Condicionador,0.10986506193876266
Vinho Tinto 8Km Carménère 750ml,vinho tinto km carmenere,Vinho Tinto,0.2899993062019348
Creme Dental Close Up Tripla Proteção Menta Americana 70g,creme dental close up tripla protecao menta americana,Enxaguante Bucal,0.06766071170568466
Biscoito de Arroz Integral Natural Life Kodilar sem Glúten 80 g,biscoito arroz life kodilar,Arroz,0.18608056008815765
Lustra Móveis Poliflor Lavanda 200ml,lustra moveis poliflor lavanda,Lustra Móveis,0.18066100776195526
Chá Preto com Limão Leão 290 ml,cha preto limao leao,Limão,0.10817176103591919
Fralda Descartável Pampers Confort Sec Super XG 54 Unidades,fralda descartavel pampers confort sec,Ração Seca,0.08684954047203064
Papel Higiênico Folha Simples 30 Metros Carrefour 8 Unidades,papel higienico folha simples metros,Folhas,0.1333712935447693
Protetor Solar Corporal e Bronzeador Hydrooil FPS30 Isdin Com 200 ml,protetor solar corporal bronzeador hydrooil fps isdin,Protetor Solar Corporal,0.22479969263076782
Condicionador Pantene Pro-V Miracles Queratina Preenche e Blinda 250ml,condicionador pantene prov miracles queratina preenche blinda,Condicionador,0.1396099478006363
Alecrim Linha Azul Maço,alecrim linha azul maco,Lager,0.022707505151629448
Fralda Pants Roupinha HUGGIES Proteção Acolchoada XXG 48 Unidades,fralda pants roupinha huggies protecao acolchoada,Frango,0.04939250648021698
Geléia de Mirtilo Linea 230g,geleia mirtilo linea,Geleias,0.07409336417913437
Escova Dental Pro Planet Colgate,escova dental pro planet colgate,Enxaguante Bucal,0.058805085718631744
Bebida à Base de Aveia Orgânica Nude Baunilha 1L,bebida base aveia organica nude baunilha,Maionese,0.038006532937288284
Fio Dental Johnson & Johnson Menta 100 m,fio dental johnson johnson menta,Fio Dental,0.17996804416179657
Kit Shampoo 350ml + Condicionador 175ml Tresemmé Blindagem Antifrizz,shampoo condicionador tresemme blindagem antifrizz,Condicionador,0.16265790164470673
Refresco em pó Fresh Laranja 15g,refresco po fresh laranja,Laranja,0.21833236515522003
Absorvente Interno Ob Procomfort Médio com 8 Unidades,absorvente interno ob procomfort,Condicionador,0.03762531280517578
Limpa Pisos Diluível Destac Lavanda Embalagem Econômica 500 ml,limpa pisos diluivel destac lavanda,Laranja,0.0792282447218895
Vinho Tinto Integral de Mesa Seco Classic Carrefour 750 ml,vinho tinto mesa seco classic,Vinho Tinto,0.28530892729759216
Antitranspirante Aerosol Above Personalities Fierce & Savage Feminino 150 ml,antitranspirante aerosol above personalities fierce savage,Repelente Corporal,0.09036200493574142
Sabonete Líquido Antibacteriano para as Mãos Erva-Doce Protex Frasco 400 ml,sabonete liquido antibacteriano maos ervadoce protex frasco,Sabonete Líquido,0.16641674935817719
Antitranspirante Aerossol NIVEA MEN Deep Amadeirado MaxxTech 150ml,antitranspirante aerossol nivea men deep amadeirado maxxtech,Desodorante Aerossol,0.11913637816905975
Coca-Cola Sem Açúcar Pet 600 ml,cocacola acucar,Cola,0.13623535633087158
Lava-Louças Líquido Ypê Neutro 5 L,lavaloucas liquido ype neutro,Salame,0.04362337291240692
Aparelho de Barbear Descartável Carrefour Men Bolder 3 Lâminas 2 unidades,aparelho barbear descartavel men bolder laminas,Presunto,0.05389557033777237
Carga de Aparelho para Barbear Gillette Mach3 Carbono 6 Unidades,carga aparelho barbear gillette mach carbono,Sabonete em Barra,0.03378152847290039
Barra Nuts Sabor Cranberry Bio2 Organic 7nuts com 3 Unidades,barra nuts cranberry bio nuts,√ Barra,0.03377970680594444
Amaciante Concentrado Comfort Frescor Intenso 900 ml Refil,amaciante concentrado comfort frescor intenso,Amaciante,0.1934375911951065
Sabonete em Barra Infantil Johnson's Baby NaturalCalm 80g,sabonete barra infantil johnsons baby naturalcalm,Sabonete em Barra,0.11692562699317932
Sabonete em Barra Palmolive Naturals Sensação Purificante 150g,sabonete barra palmolive naturals sensacao purificante,Sabonete em Barra,0.18415193259716034
Repelente Off Family Aerossol 170ml,repelente off family aerossol,Desodorante Aerossol,0.09095311164855957
Água Sanitária Carrefour 2 Litros,agua sanitaria,Água Sanitária,0.3641139566898346
Giovanna Baby Pack Promoção 2 Aerosol Blue 30%,giovanna baby promocao aerosol blue,Ovos Vermelhos,0.04019026458263397
"Refrigerante Pepsi 2,5L Garrafa Pet",refrigerante pepsi,Pilsen,0.057171065360307693
Pera Danju Calibre Aprox. 500g,pera danju calibre,Peito de Peru,0.0908467099070549
Sabão Líquido Tixan Ypê Primavera 5L,sabao liquido tixan ype primavera,Sabonete Líquido,0.13800254464149475
Sabonete Líquido Conforto Vult Corpo Hidraluronic Sachê 200ml Refil Econômico,sabonete liquido conforto vult corpo hidraluronic,Sabonete Líquido,0.10267827659845352
